id;nomer;cxema;sost;kod_po;kod_p;uzel_p;pr_p;kod;uzel;pr;kod_cekz_p;kod_co;uzel_co;pr_co;kod1_gv;uzel1_gv;pr1_gv;kod2_gv;uzel2_gv;pr2_gv;nomer_building;name_building;h;k_akkuml;kodur;kodtr;kod_gvs;kodkv;geodz;otoplz;otopln;otn_fs;otopl_tp;ventil;kondiz;txz;txop;txoo;gvop;gvoo;gvpr;gvsm;gvps;gvpw;uf;gvs_max;rez;t_pot_rez;utechp;utecho;prznz;prznp;przno;pp;po;g_otoplz;g_otopln;g_ventil;g_kondiz;g_gvop;g_gvoo;g_rez;g_gvpr;g_gvsm;g_gvps;g_gvpw;gsz;gszl;gszpr;gsop;gsoppr;gsoo;gsoopr;pr_avar_tp;a13;a15;a14;a17;pr_sopr;pr_teplo;a7;a8;a9;a10;a11;a12;a18;a19;a19_co;a22;a23;pr_shaibi;pr_per_pd;p_per_pd;tr_tv_co;tr_tv_cv;tr_gvs;pr_uchet;a24;a25;pr_avtomat;pp_fact;po_fact;kod_owner;otv;nomer_regist;contract;datenew;motiv1_date;motiv1;motiv2_date;motiv2;kol_remount;vers;date_archives;apxiv;operator;memo;f_otoplz;f_otopln;f_otn_fs;f_otopl_tp;f_ventil;f_kondiz;f_txz;f_txop;f_txoo;f_gvop;f_gvoo;f_gvpr;f_gvsm;f_gvps;f_gvpw;p_otoplz;p_otopln;p_otn_fs;p_otopl_tp;p_ventil;p_kondiz;p_txz;p_txop;p_txoo;p_gvop;p_gvoo;p_gvpr;p_gvsm;p_gvps;p_gvpw
39;40;3.4;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;3;0;0;0;0;0;3;0;0;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0
40;41;3.7;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;3;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;0;0;0;3;3;0;0;0;0;0;3;0;0;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0
41;42;3.8;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;3;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;0;0;0;3;3;0;0;0;0;0;3;0;0;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0
42;43;3.11;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;3;0;0;0;0;0;3;3;0;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0
43;44;3.12;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;3;0;0;0;0;0;3;3;0;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0
44;46;4.3;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;3;0;0;0;0;3;3;0;3;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0
45;48;4.4;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;3;0;0;0;0;3;3;0;3;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0
46;49;4.7;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;3;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;0;0;0;3;3;0;0;0;0;3;3;0;3;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0
47;50;4.8;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;3;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;0;0;0;3;3;0;0;0;0;3;3;0;3;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0
48;51;4.11;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;3;0;0;0;0;3;3;3;3;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0
49;52;4.12;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;0;0;0;3;3;0;0;0;0;3;3;3;3;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0
50;53;5.3;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;3;0;0;0;0;3;3;0;3;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0
51;54;5.4;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;3;0;0;0;0;3;3;0;3;3;3;3;3;2;2;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0
52;55;5.7;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;3;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;3;0;0;3;3;0;0;0;0;3;3;0;3;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0
53;56;5.8;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;3;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;3;0;0;3;3;0;0;0;0;3;3;0;3;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0
54;57;5.11;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;3;0;0;0;0;3;3;3;3;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0
55;58;5.12;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;3;0;0;0;0;3;3;3;3;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0
56;59;6.3;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;0;0;3;3;3;0;0;0;0;3;3;0;3;0;3;0;0;0;0;0;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0
57;60;6.7;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;3;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;0;0;3;3;3;3;0;0;0;3;3;0;3;0;3;0;0;0;0;0;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0
58;61;6.8;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;3;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;0;0;3;3;3;3;0;0;0;3;3;0;3;3;3;0;0;0;0;0;3;3;3;2;2;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0
59;62;6.11;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;0;0;3;3;3;0;0;0;0;3;3;0;3;0;3;0;0;3;0;0;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0
60;63;6.12;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;0;0;3;3;3;0;0;0;0;3;3;0;3;3;3;0;0;3;0;0;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0
61;64;7.7;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;3;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;1;1;3;3;3;3;0;0;0;3;3;0;3;0;3;0;0;0;0;0;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0
62;65;7.3;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;1;1;3;3;3;0;0;0;0;3;3;0;3;0;3;0;0;0;0;0;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0
63;66;7.4;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;1;1;3;3;3;0;0;0;0;3;3;0;3;3;3;0;0;0;0;0;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0
64;67;7.8;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;3;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;1;1;3;3;3;3;0;0;0;3;3;0;3;3;3;0;0;0;0;0;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0
65;68;7.11;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;1;1;3;3;3;0;0;0;0;3;3;0;3;0;3;0;0;3;0;0;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0
66;69;7.12;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;1;1;3;3;3;0;0;0;0;3;3;0;3;3;3;0;0;3;0;0;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0
67;71;15.1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;0;0;0;0;0;0;3;0;0;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2
68;72;15.10;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;0;0;0;0;0;0;3;3;0;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2
69;73;15.11;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;3;0;0;0;0;0;3;3;0;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2
70;74;15.12;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;3;0;0;0;0;0;3;3;0;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2
71;75;15.2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;0;0;0;0;0;0;3;0;0;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2
72;76;15.3;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;3;0;0;0;0;0;3;0;0;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2
73;77;15.4;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;3;0;0;0;0;0;3;0;0;3;3;3;3;2;2;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2
74;78;15.5;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;3;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;3;0;0;3;0;0;0;0;0;0;3;0;0;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2
75;79;15.6;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;3;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;3;0;0;3;0;0;0;0;0;0;3;0;0;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2
76;80;15.7;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;3;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;3;0;0;3;3;0;0;0;0;0;3;0;0;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2
77;81;15.8;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;3;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;3;3;0;0;3;3;0;0;0;0;0;3;0;0;3;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2
78;82;15.9;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;0;0;3;3;3;0;3;0;0;3;0;0;0;0;0;0;3;3;0;3;3;3;3;2;0;2;1;1;0;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2
79;83;6.4;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;2;1;1;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;0;0;3;3;3;0;0;0;0;3;3;0;3;0;3;0;0;0;0;0;3;3;3;2;2;2;1;1;1;8;1;1;7;7;7;7;7;7;7;7;7;7;0;7;0;7;1;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0
