1.4,3,P,6,P,Задвижка,40400,-39910,40400,-39860,27
1.4,4,O,3,O,Участок теплопровода,40400,-39730,40400,-39680,473
1.4,3,P,7,P,Задвижка,40400,-39910,40500,-39910,48
1.4,7,P,5,P,Диафрагма,40500,-39910,40500,-39810,2
1.4,5,P,5,O,Калориферная установка,40500,-39810,40500,-39680,9
1.4,5,O,3,O,Участок теплопровода,40500,-39680,40400,-39680,474
1.4,3,P,6,P,Расходомер,40400,-39910,40400,-39860,18
1.4,3,P,7,P,Расходомер,40400,-39910,40500,-39910,18
1.4,5,P,,,Манометр,40500,-39810,,,17
1.4,5,O,,,Термометр,40500,-39680,,,19
1.4,4,O,,,Термометр,40400,-39730,,,19
1.4,100000,P,100000,O,Расходомер,0,0,0,0,25
1.4,100000,,,,Манометр,,,,,32
1.4,100000,P,,,Термометр,0,0,,,34
1.4,100000,P,,,Термометр,40430,-39720,,,24
1.5,100000,,,,Термометр,,,,,35
1.5,0,P,1,P,Задвижка,40160,-39900,40220,-39900,7
1.5,1,P,2,P,Диафрагма,40220,-39900,40270,-39900,5
1.5,2,P,3,P,Участок теплопровода,40270,-39900,40320,-39900,13
1.5,3,P,4,P,Диафрагма,40320,-39900,40380,-39900,1
1.5,4,P,4,O,Теплообменник,40380,-39900,40380,-39820,12
1.5,4,O,3,O,Диафрагма,40380,-39820,40320,-39820,4
1.5,3,O,1,O,Участок теплопровода,40320,-39820,40210,-39820,14
1.5,1,O,0,O,Задвижка,40210,-39820,40160,-39820,8
1.5,0,P,,,Манометр,40160,-39900,,,17
1.5,2,P,,,Манометр,40270,-39900,,,17
1.5,4,P,,,Манометр,40380,-39900,,,17
1.5,4,O,,,Манометр,40380,-39820,,,17
1.5,0,O,,,Манометр,40160,-39820,,,17
1.5,0,P,1,P,Расходомер,40160,-39900,40220,-39900,18
1.5,1,O,0,O,Расходомер,40210,-39820,40160,-39820,18
1.5,0,P,,,Термометр,40160,-39900,,,19
1.5,0,O,,,Термометр,40160,-39820,,,19
1.5,100000,P,100000,O,Расходомер,0,0,0,0,20
1.5,100000,P,100000,O,Расходомер,0,0,0,0,21
1.5,100000,P,,,Термометр,0,0,,,22
1.5,100000,P,,,Термометр,0,0,,,23
1.5,100000,,,,Термометр,,,,,29
1.5,100000,,,,Термометр,,,,,30
1.5,100000,P,100000,O,Расходомер,0,0,0,0,20
1.6,0,P,1,P,Задвижка,40060,-39900,40120,-39900,7
1.6,1,P,2,P,Диафрагма,40120,-39900,40180,-39900,5
1.6,2,P,3,P,Участок теплопровода,40180,-39900,40250,-39900,13
1.6,6,P,4,P,Диафрагма,40300,-39870,40300,-39830,1
1.6,4,P,4,O,Теплообменник,40300,-39830,40300,-39760,12
1.6,3,O,2,O,Участок теплопровода,40250,-39730,40180,-39730,14
1.6,2,O,1,O,Диафрагма,40180,-39730,40120,-39730,4
1.6,1,O,0,O,Задвижка,40120,-39730,40060,-39730,8
1.6,0,P,,,Манометр,40060,-39900,,,17
1.6,2,P,,,Манометр,40180,-39900,,,17
1.6,4,P,,,Манометр,40300,-39830,,,17
1.6,2,O,,,Манометр,40180,-39730,,,17
1.6,0,O,,,Манометр,40060,-39730,,,17
1.6,0,P,1,P,Расходомер,40060,-39900,40120,-39900,18
1.6,1,O,0,O,Расходомер,40120,-39730,40060,-39730,18
1.6,0,P,,,Термометр,40060,-39900,,,19
1.6,0,O,,,Термометр,40060,-39730,,,19
1.6,100000,P,,,Термометр,0,0,,,22
1.6,100000,P,,,Термометр,0,0,,,23
1.6,3,P,6,P,Задвижка,40250,-39900,40300,-39870,27
1.6,4,O,3,O,Участок теплопровода,40300,-39760,40250,-39730,475
1.6,3,P,7,P,Задвижка,40250,-39900,40200,-39870,48
1.6,7,P,5,P,Диафрагма,40200,-39870,40200,-39830,2
1.6,5,P,5,O,Калориферная установка,40200,-39830,40200,-39760,9
1.6,5,O,3,O,Участок теплопровода,40200,-39760,40250,-39730,476
1.6,3,P,6,P,Расходомер,40250,-39900,40300,-39870,18
1.6,3,P,7,P,Расходомер,40250,-39900,40200,-39870,18
1.6,5,P,,,Манометр,40200,-39830,,,17
1.6,5,O,,,Термометр,40200,-39760,,,19
1.6,4,O,,,Термометр,40300,-39760,,,19
1.6,100000,P,100000,O,Расходомер,0,0,0,0,21
1.6,100000,,,,Термометр,40430,-39720,,,24
100.1,1,O,16,O,Участок теплопровода,40420,-39700,40700,-39770,477
100.1,1,P,16,P,Задвижка,40420,-39980,40700,-39890,63
100.1,16,P,16,O,Теплообменник,40700,-39890,40700,-39770,81
100.1,0,P,1,P,Задвижка,40220,-39980,40420,-39980,7
100.1,1,O,0,O,Задвижка,40420,-39700,40220,-39700,8
100.1,1,O,7,O,Участок теплопровода,40420,-39700,40420,-39770,478
100.1,1,O,10,O,Участок теплопровода,40420,-39700,40560,-39770,479
100.1,1,O,13,O,Участок теплопровода,40420,-39700,40650,-39770,4710
100.1,1,O,14,O,Участок теплопровода,40420,-39700,40740,-39770,4711
100.1,1,O,15,O,Участок теплопровода,40420,-39700,40770,-39700,4712
100.1,1,P,2,P,Задвижка,40420,-39980,40220,-39890,51
100.1,1,P,3,P,Задвижка,40420,-39980,40270,-39890,52
100.1,1,P,4,P,Задвижка,40420,-39980,40320,-39890,53
100.1,1,P,7,P,Задвижка,40420,-39980,40420,-39890,56
100.1,1,P,10,P,Задвижка,40420,-39980,40560,-39890,59
100.1,1,P,13,P,Задвижка,40420,-39980,40650,-39890,62
100.1,1,P,14,P,Задвижка,40420,-39980,40740,-39890,63
100.1,1,P,15,P,Задвижка,40420,-39980,40770,-39980,64
100.1,15,O,154,O,Задвижка,40770,-39700,40800,-39770,65
100.1,71,O,7,O,Участок теплопровода,40360,-39830,40420,-39770,4713
100.1,101,O,10,O,Участок теплопровода,40500,-39830,40560,-39770,4714
100.1,2,P,2,O,Элеватор,40220,-39890,40220,-39770,15
100.1,3,P,3,O,Радиаторы системы отопления,40270,-39890,40270,-39770,16
100.1,4,P,4,O,Теплообменник,40320,-39890,40320,-39770,12
100.1,7,P,71,O,Теплообменник,40420,-39890,40360,-39830,71
100.1,7,P,72,O,Теплообменник,40420,-39890,40480,-39830,68
100.1,10,P,101,O,Теплообменник,40560,-39890,40500,-39830,77
100.1,10,P,102,O,Теплообменник,40560,-39890,40620,-39830,74
100.1,13,P,13,O,Теплообменник,40650,-39890,40650,-39770,80
100.1,14,P,14,O,Калориферная установка,40740,-39890,40740,-39770,9
100.1,153,P,,,Узел подпитки,40800,-39980,0,0,40
100.1,15,P,15,O,Участок теплопровода,40770,-39980,40770,-39700,43
100.1,154,O,155,O,Участок теплопровода,40800,-39770,40820,-39770,46
100.1,155,O,,,Узел подпитки,40820,-39770,0,0,41
100.1,15,P,153,P,Участок теплопровода,40770,-39980,40800,-39980,4715
100.1,1,O,2,O,Участок теплопровода,40420,-39700,40220,-39770,4716
100.1,1,O,3,O,Участок теплопровода,40420,-39700,40270,-39770,4717
100.1,1,O,4,O,Участок теплопровода,40420,-39700,40320,-39770,4718
100.1,7,O,72,O,Участок теплопровода,40420,-39770,40480,-39830,4719
100.1,10,O,102,O,Участок теплопровода,40560,-39770,40620,-39830,4720
15.1,0,P,1,P,Задвижка,40130,-39960,40200,-39960,7
15.1,1,P,2,P,Диафрагма,40200,-39960,40260,-39960,5
15.1,2,P,3,P,Участок теплопровода,40260,-39960,40320,-39960,13
15.1,3,P,4,P,Диафрагма,40320,-39960,40380,-39960,1
15.1,4,P,6,P,Теплообменник,40380,-39960,40450,-39960,11
15.1,5,P,5,O,Радиаторы системы отопления,40560,-39960,40560,-39760,16
15.1,5,O,2,O,Участок теплопровода,40560,-39760,40320,-39760,14
15.1,2,O,1,O,Диафрагма,40320,-39760,40230,-39760,4
15.1,1,O,0,O,Задвижка,40230,-39760,40130,-39760,8
15.1,0,P,,,Термометр,40130,-39960,,,19
15.1,0,P,,,Манометр,40130,-39960,,,17
15.1,0,O,,,Термометр,40130,-39760,,,19
15.1,0,O,,,Манометр,40130,-39760,,,17
15.1,0,P,1,P,Расходомер,40130,-39960,40200,-39960,18
15.1,2,P,,,Манометр,40260,-39960,,,17
15.1,4,P,,,Манометр,40380,-39960,,,17
15.1,5,P,,,Манометр,40560,-39960,,,17
15.1,5,P,,,Термометр,40560,-39960,,,19
15.1,2,O,,,Манометр,40320,-39760,,,17
15.1,100000,P,100000,O,Расходомер,0,0,0,0,26
15.1,100000,O,,,Термометр,0,0,,,31
15.1,100000,O,,,Термометр,0,0,,,33
15.1,100000,P,,,Термометр,0,0,,,23
15.1,6,P,5,P,Задвижка,40450,-39960,40560,-39960,49
15.1,6,P,5,O,Задвижка,40450,-39960,40560,-39760,50
15.1,5,P,,,Манометр,40560,-39960,,,17
15.1,6,P,,,Термометр,40450,-39960,,,19
15.10,0,P,1,P,Задвижка,40100,-39860,40170,-39860,7
15.10,1,P,2,P,Диафрагма,40170,-39860,40170,-39860,5
15.10,2,P,3,P,Участок теплопровода,40170,-39860,40230,-39860,13
15.10,3,P,4,P,Диафрагма,40230,-39860,40270,-39860,1
15.10,4,P,6,P,Теплообменник,40270,-39860,40330,-39860,11
15.10,5,P,5,O,Теплообменник,40390,-39860,40390,-39770,12
15.10,5,O,2,O,Участок теплопровода,40270,-39770,40230,-39770,14
15.10,2,O,1,O,Диафрагма,40230,-39770,40170,-39770,4
15.10,1,O,0,O,Задвижка,40170,-39770,40100,-39770,8
15.10,0,P,,,Термометр,40100,-39860,,,19
15.10,0,P,,,Манометр,40100,-39860,,,17
15.10,0,O,,,Термометр,40100,-39770,,,19
