id;d;dy;date;proklad;tg;tn;t2;t1_1;t1_2;t1_3;t1_4;qp_1;qo_1;qp_2;qo_2;qp_3;qo_3;qp_4;qo_4;qp_1gt5000;qo_1gt5000;qp_2gt5000;qo_2gt5000;qp_3gt5000;qo_3gt5000;qp_4gt5000;qo_4gt5000;mode
5134;57;0;1;Н;5;5;50;50;75;100;125;21;NULL;30;NULL;40;NULL;49;NULL;21;NULL;30;NULL;40;NULL;49;NULL;1
5135;76;0;1;Н;5;5;50;50;75;100;125;25;NULL;35;NULL;45;NULL;55;NULL;25;NULL;35;NULL;45;NULL;55;NULL;1
5136;89;0;1;Н;5;5;50;50;75;100;125;28;NULL;38;NULL;50;NULL;60;NULL;28;NULL;38;NULL;50;NULL;60;NULL;1
5137;108;0;1;Н;5;5;50;50;75;100;125;31;NULL;43;NULL;55;NULL;67;NULL;31;NULL;43;NULL;55;NULL;67;NULL;1
5138;133;0;1;Н;5;5;50;50;75;100;125;35;NULL;48;NULL;60;NULL;74;NULL;35;NULL;48;NULL;60;NULL;74;NULL;1
5139;159;0;1;Н;5;5;50;50;75;100;125;38;NULL;50;NULL;65;NULL;80;NULL;38;NULL;50;NULL;65;NULL;80;NULL;1
5140;194;0;1;Н;5;5;50;50;75;100;125;42;NULL;58;NULL;73;NULL;88;NULL;42;NULL;58;NULL;73;NULL;88;NULL;1
5141;219;0;1;Н;5;5;50;50;75;100;125;46;NULL;60;NULL;78;NULL;95;NULL;46;NULL;60;NULL;78;NULL;95;NULL;1
5142;273;0;1;Н;5;5;50;50;75;100;125;53;NULL;70;NULL;87;NULL;107;NULL;53;NULL;70;NULL;87;NULL;107;NULL;1
5143;325;0;1;Н;5;5;50;50;75;100;125;60;NULL;80;NULL;100;NULL;120;NULL;60;NULL;80;NULL;100;NULL;120;NULL;1
5144;377;0;1;Н;5;5;50;50;75;100;125;71;NULL;93;NULL;114;NULL;135;NULL;71;NULL;93;NULL;114;NULL;135;NULL;1
