id;d;dy;date;proklad;tg;tn;t2;t1_1;t1_2;t1_3;t1_4;qp_1;qo_1;qp_2;qo_2;qp_3;qo_3;qp_4;qo_4;qp_1gt5000;qo_1gt5000;qp_2gt5000;qo_2gt5000;qp_3gt5000;qo_3gt5000;qp_4gt5000;qo_4gt5000;mode
4982;0;400;4;Н;50;50;50;50;100;150;150;52;NULL;86;NULL;120;NULL;120;NULL;42;NULL;72;NULL;101;NULL;101;NULL;1
4983;0;25;3;Б;50;50;50;65;90;110;110;13;9;19;9;22;8;22;8;12;8;17;8;21;7;21;7;1
4984;0;30;3;Б;50;50;50;65;90;110;110;14;9;20;9;24;9;24;9;13;9;17;9;22;8;22;8;1
4985;0;40;3;Б;50;50;50;65;90;110;110;16;10;22;10;27;9;27;9;14;9;19;9;23;9;23;9;1
4986;0;50;3;Б;50;50;50;65;90;110;110;16;11;24;11;29;10;29;10;15;10;21;10;26;9;26;9;1
4987;0;65;3;Б;50;50;50;65;90;110;110;20;14;28;12;34;11;34;11;17;11;25;11;29;10;29;10;1
4988;0;80;3;Б;50;50;50;65;90;110;110;22;15;30;13;37;12;37;12;18;12;27;12;32;11;32;11;1
4989;0;100;3;Б;50;50;50;65;90;110;110;24;16;34;14;41;14;41;14;21;14;30;13;35;12;35;12;1
4990;0;125;3;Б;50;50;50;65;90;110;110;25;17;36;15;45;15;45;15;22;16;33;14;37;13;37;13;1
4991;0;150;3;Б;50;50;50;65;90;110;110;28;19;40;16;47;16;47;16;23;16;36;15;41;14;41;14;1
4992;0;200;3;Б;50;50;50;65;90;110;110;35;22;47;19;61;17;61;17;28;20;42;16;50;16;50;16;1
4993;0;250;3;Б;50;50;50;65;90;110;110;40;26;56;22;68;18;68;18;33;22;47;18;57;17;57;17;1
4994;0;300;3;Б;50;50;50;65;90;110;110;46;29;64;23;76;21;76;21;37;24;52;21;61;18;61;18;1
4995;0;350;3;Б;50;50;50;65;90;110;110;50;32;68;25;84;22;84;22;40;27;55;22;69;19;69;19;1
4996;0;400;3;Б;50;50;50;65;90;110;110;56;34;75;28;91;22;91;22;43;28;60;24;74;21;74;21;1
4997;0;450;3;Б;50;50;50;65;90;110;110;60;36;82;28;99;23;99;23;47;31;68;27;78;22;78;22;1
4998;0;500;3;Б;50;50;50;65;90;110;110;65;40;92;31;112;24;112;24;50;32;72;28;86;23;86;23;1
4999;0;600;3;Б;50;50;50;65;90;110;110;72;42;103;33;125;26;125;26;58;36;80;30;97;27;97;27;1
5000;0;700;3;Б;50;50;50;65;90;110;110;78;47;120;35;135;28;135;28;66;41;92;32;110;27;110;27;1
5001;0;800;3;Б;50;50;50;65;90;110;110;91;53;129;39;156;31;156;31;73;44;103;33;120;29;120;29;1
5002;0;900;3;Б;50;50;50;65;90;110;110;101;55;140;41;172;32;172;32;78;48;110;37;129;32;129;32;1
5003;0;1000;3;Б;50;50;50;65;90;110;110;111;57;146;44;183;36;183;36;86;52;121;40;141;34;141;34;1
5004;0;1200;3;Б;50;50;50;65;90;110;110;135;63;188;47;220;40;220;40;98;58;136;46;164;38;164;38;1
5005;0;1400;3;Б;50;50;50;65;90;110;110;149;66;208;51;236;42;236;42;112;60;154;50;193;41;193;41;1
5006;0;25;3;К;50;50;50;65;90;110;110;13;9;19;9;22;8;22;8;12;8;17;8;21;7;21;7;1
5007;0;30;3;К;50;50;50;65;90;110;110;14;9;20;9;24;9;24;9;13;9;17;9;22;8;22;8;1
5008;0;40;3;К;50;50;50;65;90;110;110;16;10;22;10;27;9;27;9;14;9;19;9;23;9;23;9;1
5009;0;50;3;К;50;50;50;65;90;110;110;16;11;24;11;29;10;29;10;15;10;21;10;26;9;26;9;1
5010;0;65;3;К;50;50;50;65;90;110;110;20;14;28;12;34;11;34;11;17;11;25;11;29;10;29;10;1
5011;0;80;3;К;50;50;50;65;90;110;110;22;15;30;13;37;12;37;12;18;12;27;12;32;11;32;11;1
5012;0;100;3;К;50;50;50;65;90;110;110;24;16;34;14;41;14;41;14;21;14;30;13;35;12;35;12;1
5013;0;125;3;К;50;50;50;65;90;110;110;25;17;36;15;45;15;45;15;22;16;33;14;37;13;37;13;1
5014;0;150;3;К;50;50;50;65;90;110;110;28;19;40;16;47;16;47;16;23;16;36;15;41;14;41;14;1
5015;0;200;3;К;50;50;50;65;90;110;110;35;22;47;19;61;17;61;17;28;20;42;16;50;16;50;16;1
5016;0;250;3;К;50;50;50;65;90;110;110;40;26;56;22;68;18;68;18;33;22;47;18;57;17;57;17;1
5017;0;300;3;К;50;50;50;65;90;110;110;46;29;64;23;76;21;76;21;37;24;52;21;61;18;61;18;1
5018;0;350;3;К;50;50;50;65;90;110;110;50;32;68;25;84;22;84;22;40;27;55;22;69;19;69;19;1
5019;0;400;3;К;50;50;50;65;90;110;110;56;34;75;28;91;22;91;22;43;28;60;24;74;21;74;21;1
5020;0;450;3;К;50;50;50;65;90;110;110;60;36;82;28;99;23;99;23;47;31;68;27;78;22;78;22;1
5021;0;500;3;К;50;50;50;65;90;110;110;65;40;92;31;112;24;112;24;50;32;72;28;86;23;86;23;1
5022;0;600;3;К;50;50;50;65;90;110;110;72;42;103;33;125;26;125;26;58;36;80;30;97;27;97;27;1
5023;0;700;3;К;50;50;50;65;90;110;110;78;47;120;35;135;28;135;28;66;41;92;32;110;27;110;27;1
5024;0;800;3;К;50;50;50;65;90;110;110;91;53;129;39;156;31;156;31;73;44;103;33;120;29;120;29;1
5025;0;900;3;К;50;50;50;65;90;110;110;101;55;140;41;172;32;172;32;78;48;110;37;129;32;129;32;1
5026;0;1000;3;К;50;50;50;65;90;110;110;111;57;146;44;183;36;183;36;86;52;121;40;141;34;141;34;1
5027;0;1200;3;К;50;50;50;65;90;110;110;135;63;188;47;220;40;220;40;98;58;136;46;164;38;164;38;1
